# nbre d'ondes: 124 
--------astronomic potential amplitude in cm, pulsation in degrees/h and in /h, period in hours and in days, critical latitude in degrees, Doodson number
     wave       Ap          deg/h              /h               h            days        deg   Doodson
      Psi1  0.1120    15.082135317     0.041894820    23.869299170     0.994554132    30.0904  1665546
      Phi1  0.2027    15.123205917     0.042008905    23.804476510     0.991853188    30.1808  1675556
      Tta1  0.1120    15.512589728     0.043090527    23.206956822     0.966956534    31.0425  1736556
        J1  0.7921    15.585443336     0.043292898    23.098476715     0.962436530    31.2046  1754556
       SO1  0.0000    16.056964425     0.044602679    22.420177966     0.934174082    32.2606  1835556
       OO1  0.4347    16.139101703     0.044830838    22.306074193     0.929419758    32.4458  1855556
       KQ1  0.0085    16.683476401     0.046342990    21.578236535     0.899093189    33.6830  1954556
    2MN2S2  0.0000    26.407937944     0.073355383    13.632264691     0.568011029    61.3854  2096555
      2NS2  0.0000    26.879459033     0.074665164    13.393126683     0.558046945    63.3209  2177555
     3M2S2  0.0000    26.952312641     0.074867535    13.356924313     0.556538513    63.6317  2195555
       ST1  0.0000    26.961596311     0.074893323    13.352325131     0.556346880    63.6715  2197555
       OQ2  0.0000    27.341696452     0.075949157    13.166703121     0.548612630    65.3540  2256553
        E2  0.1789    27.423833730     0.076177316    13.127267454     0.546969477    65.7318  2276555
      MNS2  0.0000    27.423833730     0.076177316    13.127267454     0.546969477    65.7318  2276555
     MNuS2  0.0000    27.496687339     0.076379687    13.092486217     0.545520259    66.0717  2294555
       ST2  0.0000    27.505971008     0.076405475    13.088067311     0.545336138    66.1153  2296555
       ST3  0.0000    27.803933872     0.077233150    12.947808093     0.539492004    67.5581  2335555
      2MK2  0.0000    27.886071150     0.077461309    12.909670856     0.537902952    67.9715  2355555
       2N2  0.6267    27.895354819     0.077487097    12.905374473     0.537723936    68.0187  2357555
       Mu2  0.5841    27.968208428     0.077689468    12.871757622     0.536323234    68.3925  2375555
      SNK2  0.0000    28.357592238     0.078771090    12.695012925     0.528958872    70.5053  2436555
        N2  4.6313    28.439729516     0.078999249    12.658348238     0.527431177    70.9796  2456555
       Nu2  0.9094    28.512583125     0.079201620    12.626004400     0.526083517    71.4101  2474555
      MSK2  0.0000    28.901966936     0.080283241    12.455899655     0.518995819    73.8978  2535555
       OP2  0.0000    28.901966936     0.080283241    12.455899655     0.518995819    73.8978  2535553
    M(SK)2  0.0000    28.943035575     0.080397321    12.438225392     0.518259391    74.1823  2545554
        M2 24.2297    28.984104214     0.080511401    12.420601215     0.517525051    74.4718  2555555
    M(KS)2  0.0000    29.025172853     0.080625480    12.403026911     0.516792788    74.7667  2565556
      MKS2  0.0000    29.066241492     0.080739560    12.385502271     0.516062595    75.0673  2575555
       La2  0.1760    29.455625303     0.081821181    12.221774154     0.509240590    78.2860  2636553
        L2  0.6694    29.528478911     0.082023553    12.191620201     0.507984175    78.9904  2654553
      NKM2  0.0000    29.537762580     0.082049341    12.187788395     0.507824516    79.0834  2656555
        T2  0.6614    29.958933322     0.083219259    12.016449188     0.500685383    84.8127  2725565
        S2 11.2734    30.000000000     0.083333333    12.000000000     0.500000000    85.7650  2735555
        R2  0.0933    30.041066678     0.083447407    11.983595784     0.499316491    87.0057  2745543
        K2  3.0697    30.082137278     0.083561492    11.967234797     0.498634783       -nan  2755555
      MSN2  0.0000    30.544374697     0.084845485    11.786130951     0.491088790       -nan  2834555
       KJ2  0.1707    30.626511975     0.085073644    11.754521713     0.489771738       -nan  2854555
      2SM2  0.0000    31.015895786     0.086155266    11.606951561     0.483622982       -nan  2915555
      SKM2  0.0000    31.098033064     0.086383425    11.576294850     0.482345619       -nan  2935555
      2SN2  0.0000    31.560270484     0.087667418    11.406746345     0.475281098       -nan  3014555
     2SMu2  0.0000    32.031791572     0.088977199    11.238834368     0.468284765       -nan  3095555
       MQ3  0.0000    42.382765091     0.117729903     8.494018718     0.353917447       -nan  3356554
      2MK3  0.0000    42.927139789     0.119242055     8.386302972     0.349429291       -nan  3455554
       MO3  0.0000    42.927139789     0.119242055     8.386302972     0.349429291       -nan  3455554
        M3  0.0000    43.476156321     0.120767101     8.280400810     0.345016700       -nan  3555555
       SO3  0.0000    43.943035575     0.122063988     8.192424472     0.341351020       -nan  3635554
       MS3  0.0000    43.984104214     0.122178067     8.184775078     0.341032295       -nan  3645555
       MK3  0.0000    44.025172853     0.122292147     8.177139956     0.340714165       -nan  3655556
       SP3  0.0000    44.958931361     0.124885920     8.007307761     0.333637823       -nan  3815554
        S3  0.0000    45.000000000     0.125000000     8.000000000     0.333333333       -nan  3825555
       SK3  0.0000    45.041068639     0.125114080     7.992705566     0.333029399       -nan  3835556
        K3  0.0000    45.123205917     0.125342239     7.978156531     0.332423189       -nan  3855558
     2MNS4  0.0000    56.407937944     0.156688717     6.382080486     0.265920020       -nan  4276555
        N4  0.0000    56.879459033     0.157998497     6.329174119     0.263715588       -nan  4357555
      3MS4  0.0000    56.952312641     0.158200868     6.321077816     0.263378242       -nan  4375555
       MN4  0.0000    57.423833730     0.159510649     6.269173906     0.261215579       -nan  4456555
      MNu4  0.0000    57.496687339     0.159713020     6.261230284     0.260884595       -nan  4474555
        M4  0.0000    57.968208428     0.161022801     6.210300607     0.258762525       -nan  4555555
       SN4  0.0000    58.439729516     0.162332582     6.160192783     0.256674699       -nan  4636555
       ML4  0.0000    58.512583125     0.162534953     6.152522770     0.256355115       -nan  4654553
       NK4  0.0000    58.521866794     0.162560741     6.151546759     0.256314448       -nan  4656555
       MS4  0.0000    58.984104214     0.163844734     6.103339278     0.254305803       -nan  4735555
       MK4  0.0000    59.066241492     0.164072893     6.094851999     0.253952167       -nan  4755555
     2MSN4  0.0000    59.528478911     0.165356886     6.047525598     0.251980233       -nan  4834555
        S4  0.0000    60.000000000     0.166666667     6.000000000     0.250000000       -nan  4915555
       SK4  0.0000    60.082137278     0.166894826     5.991797501     0.249658229       -nan  4935555
     3MNK6  0.0000    85.309904880     0.236971958     4.219908585     0.175829524       -nan  6256555
     3MNS6  0.0000    85.392042158     0.237200117     4.215849521     0.175660397       -nan  6276555
      4MK6  0.0000    85.854279577     0.238484110     4.193151486     0.174714645       -nan  6355555
     3MNL6  0.0000    85.863563247     0.238509898     4.192698118     0.174695755       -nan  6357557
      4MS6  0.0000    85.936416855     0.238712269     4.189143708     0.174547655       -nan  6375555
      2MN6  0.0000    86.407937944     0.240022050     4.166283892     0.173595162       -nan  6456555
     2MNu6  0.0000    86.480791553     0.240224421     4.162774109     0.173448921       -nan  6474555
     3MSK6  0.0000    86.870175364     0.241306043     4.144115037     0.172671460       -nan  6535555
        M6  0.0000    86.952312641     0.241534202     4.140200405     0.172508350       -nan  6555555
     3MKS6  0.0000    87.034449919     0.241762361     4.136293161     0.172345548       -nan  6575555
      MSN6  0.0000    87.423833730     0.242843983     4.117870204     0.171577925       -nan  6636555
      2ML6  0.0000    87.496687339     0.243046354     4.114441483     0.171435062       -nan  6654553
     MSNu6  0.0000    87.496687339     0.243046354     4.114441483     0.171435062       -nan  6654555
      MNK6  0.0000    87.505971008     0.243072142     4.114004974     0.171416874       -nan  6656555
      2MS6  0.0000    87.968208428     0.244356135     4.092387539     0.170516147       -nan  6735555
     3MLN6  0.0000    88.041062036     0.244558506     4.089001106     0.170375046       -nan  6753553
      2MK6  0.0000    88.050345706     0.244584294     4.088569978     0.170357082       -nan  6755555
      MSL6  0.0000    88.512583125     0.245868286     4.067218324     0.169467430       -nan  6834553
     3MSN6  0.0000    88.512583125     0.245868286     4.067218324     0.169467430       -nan  6834555
     3MKN6  0.0000    88.594720403     0.246096446     4.063447555     0.169310315       -nan  6854555
      2SM6  0.0000    88.984104214     0.247178067     4.045666394     0.168569433       -nan  6915555
      MSK6  0.0000    89.066241492     0.247406226     4.041935463     0.168413978       -nan  6935555
     2M2N8  0.0000   114.847667460     0.319021299     3.134586953     0.130607790       -nan  8357555
      3MN8  0.0000   115.392042158     0.320533450     3.119799193     0.129991633       -nan  8456555
        M8  0.0000   115.936416855     0.322045602     3.105150304     0.129381263       -nan  8555555
     2MSN8  0.0000   116.407937944     0.323355383     3.092572606     0.128857192       -nan  8636555
      3ML8  0.0000   116.480791553     0.323557754     3.090638338     0.128776597       -nan  8654553
      3MS8  0.0000   116.952312641     0.324867535     3.078177694     0.128257404       -nan  8735555
      3MK8  0.0000   117.034449919     0.325095694     3.076017363     0.128167390       -nan  8755555
     2M2S8  0.0000   117.968208428     0.327689468     3.051669639     0.127152902       -nan  8915555
     2MSK8  0.0000   118.050345706     0.327917627     3.049546343     0.127064431       -nan  8935555
     2M2K8  0.0000   118.132482984     0.328145786     3.047425999     0.126976083       -nan  8955555
 ^^^^^^^^^^^^^ end of computation ^^^^^^^^^^^^^
